iter	Passed	Remaining
1089	23526	8849
1090	23545	8827
1091	23566	8805
1092	23588	8783
1093	23608	8761
1094	23632	8740
1095	23654	8719
1096	23676	8697
1097	23698	8676
1098	23722	8655
1099	23746	8635
1100	23768	8613
1101	23788	8591
1102	23809	8569
1103	23828	8547
1104	23847	8524
1105	23865	8501
1106	23884	8479
1107	23912	8460
1108	23934	8438
1109	23952	8415
1110	23972	8393
1111	23995	8372
1112	24022	8352
1113	24047	8332
1114	24069	8311
1115	24090	8289
1116	24110	8267
1117	24132	8245
1118	24152	8223
1119	24184	8205
1120	24210	8185
1121	24229	8162
1122	24250	8141
1123	24273	8119
1124	24297	8099
1125	24317	8077
1126	24336	8054
1127	24360	8033
1128	24380	8011
1129	24399	7989
1130	24420	7967
1131	24443	7946
1132	24467	7925
1133	24489	7903
1134	24509	7881
1135	24527	7859
1136	24544	7836
1137	24567	7814
1138	24590	7793
1139	24611	7771
1140	24632	7750
1141	24650	7727
1142	24677	7707
1143	24698	7685
1144	24716	7663
1145	24735	7640
1146	24754	7618
1147	24774	7596
1148	24798	7575
1149	24823	7555
1150	24844	7533
1151	24866	7511
1152	24884	7489
1153	24903	7466
1154	24922	7444
1155	24944	7422
1156	24963	7400
1157	24984	7378
1158	25007	7357
1159	25029	7336
1160	25047	7313
1161	25067	7291
1162	25086	7269
1163	25105	7246
1164	25126	7225
1165	25144	7202
1166	25166	7181
1167	25185	7158
1168	25206	7137
1169	25232	7116
1170	25253	7095
1171	25280	7075
1172	25307	7055
1173	25329	7033
1174	25351	7012
1175	25371	6990
1176	25393	6968
1177	25414	6947
1178	25435	6925
1179	25453	6902
1180	25474	6880
1181	25494	6858
1182	25512	6836
1183	25531	6814
1184	25549	6791
1185	25571	6770
1186	25592	6748
1187	25611	6726
1188	25630	6704
1189	25651	6682
1190	25673	6660
1191	25693	6638
1192	25711	6616
1193	25729	6593
1194	25748	6571
1195	25769	6550
1196	25789	6528
1197	25813	6507
1198	25839	6486
1199	25858	6464
1200	25879	6442
1201	25901	6421
1202	25923	6400
1203	25943	6378
1204	25965	6356
1205	25985	6334
1206	26010	6313
1207	26029	6291
1208	26049	6270
1209	26069	6247
1210	26087	6225
1211	26110	6204
1212	26134	6183
1213	26153	6161
1214	26173	6139
1215	26193	6117
1216	26212	6095
1217	26230	6073
1218	26250	6051
1219	26269	6028
1220	26289	6007
1221	26308	5985
1222	26329	5963
1223	26349	5941
1224	26371	5920
1225	26390	5897
1226	26410	5876
1227	26439	5856
1228	26460	5834
1229	26490	5814
1230	26512	5793
1231	26534	5772
1232	26555	5750
1233	26581	5729
1234	26602	5708
1235	26632	5688
1236	26663	5669
1237	26686	5647
1238	26708	5626
1239	26731	5605
1240	26753	5583
1241	26777	5562
1242	26799	5541
1243	26822	5519
1244	26841	5497
1245	26860	5475
1246	26884	5454
1247	26904	5432
1248	26924	5410
1249	26946	5389
1250	26967	5367
1251	26990	5346
1252	27009	5324
1253	27030	5302
1254	27052	5281
1255	27071	5259
1256	27092	5237
1257	27115	5216
1258	27137	5194
1259	27159	5173
1260	27184	5152
1261	27207	5131
1262	27236	5110
1263	27269	5091
1264	27290	5069
1265	27311	5048
1266	27329	5025
1267	27348	5003
1268	27370	4982
1269	27394	4961
1270	27412	4938
1271	27432	4917
1272	27455	4895
1273	27476	4874
1274	27498	4852
1275	27517	4830
1276	27535	4808
1277	27553	4786
1278	27579	4765
1279	27600	4743
1280	27617	4721
1281	27633	4699
1282	27651	4676
1283	27671	4655
1284	27691	4633
1285	27716	4612
1286	27733	4589
1287	27751	4567
1288	27770	4545
1289	27795	4524
1290	27817	4503
1291	27838	4481
1292	27857	4459
1293	27880	4438
1294	27901	4416
1295	27923	4395
1296	27941	4373
1297	27960	4351
1298	27983	4329
1299	28006	4308
1300	28028	4287
1301	28052	4266
1302	28078	4245
1303	28098	4223
1304	28118	4201
1305	28139	4180
1306	28158	4158
1307	28177	4136
1308	28201	4115
1309	28220	4093
1310	28239	4071
1311	28259	4049
1312	28280	4027
1313	28304	4006
1314	28332	3985
1315	28360	3965
1316	28387	3944
1317	28415	3923
1318	28436	3902
1319	28455	3880
1320	28481	3859
1321	28500	3837
1322	28519	3815
1323	28538	3793
1324	28557	3771
1325	28581	3750
1326	28600	3728
1327	28622	3707
1328	28642	3685
1329	28660	3663
1330	28687	3642
1331	28715	3621
1332	28733	3599
1333	28751	3577
1334	28770	3555
1335	28792	3534
1336	28810	3512
1337	28828	3490
1338	28845	3468
1339	28864	3446
1340	28882	3424
1341	28907	3403
1342	28931	3382
1343	28952	3360
1344	28973	3338
1345	28998	3317
1346	29017	3295
1347	29036	3274
1348	29054	3252
1349	29077	3230
1350	29098	3209
1351	29117	3187
1352	29135	3165
1353	29154	3143
1354	29172	3121
1355	29194	3100
1356	29216	3078
1357	29236	3057
1358	29255	3035
1359	29274	3013
1360	29294	2991
1361	29315	2970
1362	29336	2948
1363	29356	2927
1364	29377	2905
1365	29396	2883
1366	29420	2862
1367	29439	2840
1368	29458	2818
1369	29481	2797
1370	29504	2776
1371	29522	2754
1372	29541	2732
1373	29559	2710
1374	29580	2689
1375	29598	2667
1376	29620	2645
1377	29641	2624
1378	29667	2603
1379	29690	2581
1380	29716	2560
1381	29735	2538
1382	29754	2517
1383	29772	2495
1384	29792	2473
1385	29810	2451
1386	29829	2430
1387	29847	2408
1388	29874	2387
1389	29896	2365
1390	29916	2344
1391	29937	2322
1392	29958	2301
1393	29979	2279
1394	30006	2258
1395	30031	2237
1396	30053	2215
1397	30074	2194
1398	30097	2172
1399	30120	2151
1400	30141	2129
1401	30163	2108
1402	30187	2087
1403	30210	2065
1404	30230	2044
1405	30251	2022
1406	30271	2000
1407	30292	1979
1408	30314	1957
1409	30332	1936
1410	30351	1914
1411	30372	1892
1412	30396	1871
1413	30426	1850
1414	30452	1829
1415	30473	1807
1416	30493	1786
1417	30515	1764
1418	30537	1743
1419	30558	1721
1420	30578	1700
1421	30599	1678
1422	30621	1656
1423	30640	1635
1424	30660	1613
1425	30680	1592
1426	30704	1570
1427	30726	1549
1428	30747	1527
1429	30768	1506
1430	30788	1484
1431	30807	1462
1432	30826	1441
1433	30844	1419
1434	30862	1397
1435	30884	1376
1436	30904	1354
1437	30925	1333
1438	30943	1311
1439	30962	1290
1440	30984	1268
1441	31005	1247
1442	31024	1225
1443	31043	1203
1444	31064	1182
1445	31084	1160
1446	31103	1139
1447	31123	1117
1448	31142	1096
1449	31161	1074
1450	31182	1053
1451	31205	1031
1452	31224	1010
1453	31245	988
1454	31265	966
1455	31287	945
1456	31307	923
1457	31327	902
1458	31346	880
1459	31365	859
1460	31384	837
1461	31404	816
1462	31424	794
1463	31445	773
1464	31466	751
1465	31485	730
1466	31504	708
1467	31524	687
1468	31543	665
1469	31565	644
1470	31584	622
1471	31604	601
1472	31627	579
1473	31648	558
1474	31668	536
1475	31688	515
1476	31711	493
1477	31732	472
1478	31754	450
1479	31777	429
1480	31804	408
1481	31823	386
1482	31841	365
1483	31859	343
1484	31878	322
1485	31900	300
1486	31923	279
1487	31943	257
1488	31964	236
1489	31988	214
1490	32009	193
1491	32029	171
1492	32054	150
1493	32073	128
1494	32092	107
1495	32113	85
1496	32132	64
1497	32152	42
1498	32171	21
1499	32189	0
